    Dens   Wtype     ROC HalfROC     Seq  ROCpin  SiCell      iu      iv       t
      HD       0       3       0      27      26     226      12       9       0
      HD       0       3       0      28      27     248      13       8       0
      HD       0       3       0      29      28     225      12       8       0
      HD       0       3       0      30      29     274      14      10       0
      HD       0       3       0      31      30     249      13       9       0
      HD       0       3       0      32      31     272      14       8       0
      HD       0       3       0      33      32     247      13       7       0
      HD       0       3       0      34      33     273      14       9       0
      HD       0       3       0      35      34     224      12       7       0
      HD       0       3       0      36      35     223      12       6       0
      HD       0       3       1       0      36     334      17       9       0
      HD       0       3       1       1      37     333      17       8       0
      HD       0       3       1       2      38     291      15       6       0
      HD       0       3       1       3      39     335      17      10       0
      HD       0       3       1       4      40     315      16       9       0
      HD       0       3       1       5      41     293      15       8       0
      HD       0       3       1       6      42     313      16       7       0
      HD       0       3       1       7      43     292      15       7       0
      HD       0       3       1       8      44     314      16       8       0
      HD       0       3       1       9      45     331      17       6       0
      HD       0       3       1      10      46     332      17       7       0
      HD       0       3       1      11      47     312      16       6       0
      HD       0       3       1      12      48     330      17       5       0
      HD       0       3       1      13      49     310      16       4       0
      HD       0       3       1      14      50     311      16       5       0
      HD       0       3       1      15      51     290      15       5       0
      HD       0       3       1      16      52     289      15       4       0
      HD       0       3       1      17      53     288      15       3       0
      HD       0       3       1      18  CALIB1     268      14       4       1
      HD       0       3       1      19      54     267      14       4       0
      HD       0       3       1      20      55     241      13       1       0
      HD       0       3       1      21      56     266      14       3       0
      HD       0       3       1      22      57     265      14       2       0
      HD       0       3       1      23      58     242      13       2       0
      HD       0       3       1      24      59     217      12       0       0
      HD       0       3       1      25      60     219      12       2       0
      HD       0       3       1      26      61     218      12       1       0
      HD       0       3       1      27      62     243      13       3       0
      HD       0       3       1      28      63     269      14       5       0
      HD       0       3       1      29      64     271      14       7       0
      HD       0       3       1      30      65     270      14       6       0
      HD       0       3       1      31      66     244      13       4       0
      HD       0       3       1      32      67     220      12       3       0
      HD       0       3       1      33      68     246      13       6       0
      HD       0       3       1      34      69     221      12       4       0
      HD       0       3       1      35      70     245      13       5       0
      HD       0       3       1      36      71     222      12       5       0
      HD       0       4       0       0       0     189      10      18       0
      HD       0       4       0       1       1     213      11      19       0
      HD       0       4       0       2       2     235      12      18       0
      HD       0       4       0       3       3     212      11      18       0
      HD       0       4       0       4       4     260      13      20       0
      HD       0       4       0       5       5     237      12      20       0
      HD       0       4       0       6       6     284      14      20       0
      HD       0       4       0       7       7     259      13      19       0
      HD       0       4       0       8       8     236      12      19       0
      HD       0       4       0       9       9     328      16      22       0
      HD       0       4       0      10      10     285      14      21       0
      HD       0       4       0      11      11     307      15      21       0
      HD       0       4       0      12      12     348      17      23       0
      HD       0       4       0      13      13     286      14      22       0
      HD       0       4       0      14      14     261      13      21       0
      HD       0       4       0      15      15     308      15      22       0
      HD       0       4       0      16      16     329      16      23       0
      HD       0       4       0      17      17     309      15      23       0
      HD       0       4       0      18  CALIB0     262      13      21       1
      HD       0       4       0      19      18     287      14      23       0
      HD       0       4       0      20      19     240      12      23       0
      HD       0       4       0      21      20     264      13      23       0
      HD       0       4       0      22      21     263      13      22       0
      HD       0       4       0      23      22     239      12      22       0
      HD       0       4       0      24      23     215      11      21       0
      HD       0       4       0      25      24     216      11      22       0
      HD       0       4       0      26      25     238      12      21       0
      HD       0       4       0      27      26     192      10      21       0
      HD       0       4       0      28      27     169       9      19       0
      HD       0       4       0      29      28     190      10      19       0
      HD       0       4       0      30      29     214      11      20       0
      HD       0       4       0      31      30     191      10      20       0
      HD       0       4       0      32      31     168       9      18       0
      HD       0       4       0      33      32     147       8      19       0
      HD       0       4       0      34      33     146       8      18       0
      HD       0       4       0      35      34     170       9      20       0
      HD       0       4       0      36      35     127       7      18       0
      HD       0       4       1       0      36     188      10      17       0
      HD       0       4       1       1      37     187      10      16       0
      HD       0       4       1       2      38     211      11      17       0
      HD       0       4       1       3      39     167       9      17       0
